"from" "to" "type" "time"
"wobie2" "pt_jeanette" "mention" "1541090236"
"KelCo07540774" "nyukevo" "mention" "1541090356"
"shogaiee" "TheDemocrats" "mention" "1541090462"
"nyutandon" "nyuite" "mention" "1541090613"
"nyutandon" "amazon" "mention" "1541090613"
"mcinnovative" "nyutandon" "mention" "1541090647"
"InspiringIranis" "IAWFoundation" "mention" "1541091589"
"tischphoto" "drdebwillis" "mention" "1541091653"
"tischphoto" "hankwthomas" "mention" "1541091653"
"tischphoto" "aperturefnd" "mention" "1541091653"
"tischphoto" "NYUTischSchool" "mention" "1541091653"
"tischphoto" "for_freedoms" "mention" "1541091653"
"janycedenise" "tischphoto" "mention" "1541091816"
"BazziNYU" "the_sagittary" "mention" "1541092231"
"CosmicCe" "addster1216" "mention" "1541092270"
"IECarballo" "Nouriel" "mention" "1541092566"
"BahmanKalbasi" "the_sagittary" "mention" "1541092875"
"DrLisaRubin" "_fannyfang" "reply" "1541093221"
"DrLisaRubin" "_fannyfang" "mention" "1541093221"
"DrLisaRubin" "ryanjrwestman" "mention" "1541093221"
"PersianPolitik" "the_sagittary" "mention" "1541093856"
"_NYUIT" "NYUFutureLabs" "mention" "1541094149"
"_NYUIT" "ylecun" "mention" "1541094149"
"_NYUIT" "nyuniversity" "mention" "1541094149"
"G0ldxnE" "addster1216" "mention" "1541094361"
"ariellynn119" "addster1216" "mention" "1541094418"
"xserpentxxking" "pt_jeanette" "mention" "1541096413"
"hcrubin2009" "NYUStern" "quote" "1541096525"
"hcrubin2009" "paulmromer" "mention" "1541096525"
"OrrickTech" "nyutandon" "mention" "1541098134"
"OrrickTech" "NYUFutureLabs" "mention" "1541098134"
"li_tvk" "pt_jeanette" "mention" "1541098549"
"ayeedrianna" "addster1216" "mention" "1541100367"
"iRossBrand" "chrisyeh" "mention" "1541100402"
"iRossBrand" "NYUSPS" "mention" "1541100402"
"iRossBrand" "annatavis" "mention" "1541100402"
"iRossBrand" "nyuniversity" "mention" "1541100402"
"iRossBrand" "reidhoffman" "mention" "1541100402"
